Date,TXN,AAPL,DGX,BMRA,XOM,ALK,LNT,MET,ADSK,UNP,VTR,BEN,JKHY,USB,CPRT,KEY,RSG,OMC,YUM,ADP,NI,ILMN,COP,HAS,T,ARE,PVH,AON,SONC,FITB,VZ,MRK,FLS,WDC,AVY,CB
2001-12-31,18.86456298828125,0.3333559036254883,27.236602783203125,0.6600000262260437,20.046852111816406,6.542126655578613,6.558584213256836,17.321691513061523,9.135228157043455,9.56858253479004,4.654596328735352,6.852896690368652,16.936952590942383,10.909929275512695,3.030833005905152,12.508337020874023,8.712726593017578,27.72798156738281,6.318991184234619,29.282495498657227,3.8217172622680655,5.880000114440918,11.769217491149902,9.65360164642334,6.616230487823486,20.40443420410156,10.111252784729004,25.97450065612793,9.904059410095217,34.15389633178711,15.994359016418455,25.082075119018555,6.967854499816895,5.033544540405273,33.211814880371094,25.699443817138672
2002-01-31,21.043537139892575,0.3762819468975067,26.317455291748047,0.5600000023841858,19.919321060180664,6.892838954925537,6.548254013061523,16.61090087890625,10.06569004058838,10.416330337524414,4.909587860107422,7.276464939117432,16.890422821044922,10.852591514587402,2.825000047683716,12.647083282470703,7.591458797454834,27.11353874206543,7.166663646697998,26.846437454223636,3.4956958293914795,4.224999904632568,11.419617652893066,9.83265781402588,6.379885673522949,20.309051513671875,11.409950256347656,24.351104736328125,10.45435619354248,35.22312545776367,15.740768432617188,25.244176864624023,6.491286754608154,5.017486572265625,34.95673751831055,24.867319107055664
2002-02-28,19.7894287109375,0.3303120136260986,26.93275260925293,0.6700000166893005,21.19228172302246,6.980515956878662,6.372524738311768,17.431060791015625,10.84394073486328,10.18466854095459,5.239214897155762,7.939021110534668,16.855712890625,10.868236541748049,2.1737499237060547,12.888623237609863,7.831419944763184,29.02826499938965,7.594354152679443,26.20509529113769,3.527629852294922,3.430000066757202,11.61652660369873,8.52759838104248,6.446326732635498,20.760915756225582,13.441475868225098,25.5022087097168,11.026521682739258,35.507137298583984,15.893593788146973,26.161287307739254,7.326591491699219,4.664254188537598,37.60052490234375,28.099756240844727
2002-03-31,20.869991302490234,0.3694318830966949,34.90129470825195,0.4900000095367431,20.612443923950195,6.886093616485596,6.3149824142456055,18.6667537689209,9.041308403015137,9.566147804260254,5.573631763458252,8.154960632324219,18.110816955566406,12.461200714111328,1.923750042915344,14.620624542236328,8.638555526733398,27.130277633666992,8.099100112915039,25.32571792602539,3.762983083724976,4.199999809265137,11.82425594329834,9.540449142456056,5.342446327209473,23.203933715820312,14.1731538772583,26.47963523864746,12.095332145690918,38.32763671875,13.738639831542969,23.31159782409668,9.033863067626951,4.969319343566895,37.82745742797852,27.96018409729004
2002-04-30,19.345050811767575,0.3546662926673889,33.203521728515625,0.5600000023841858,20.60776138305664,6.261107444763184,6.151800632476807,18.1691951751709,6.637176990509033,10.313920021057127,5.529904365539551,8.472208023071289,15.35686206817627,12.434906005859377,2.0537500381469727,14.35675048828125,9.170828819274902,26.859718322753903,8.206979751586914,25.86371612548828,4.125656127929688,3.200000047683716,11.377466201782228,9.134469032287598,5.8980207443237305,23.610130310058597,14.635696411132812,24.77509307861328,11.748692512512209,36.41653823852539,14.728532791137695,24.4956169128418,8.371376037597656,3.692868709564209,38.607025146484375,22.235803604125977
2002-05-31,15.635140419006348,0.2322839200496673,22.937095642089844,0.449999988079071,18.971736907958984,5.28316068649292,4.39404296875,15.413463592529297,6.352871417999268,9.912915229797363,5.466825485229492,6.69335412979126,11.101425170898438,11.344371795654297,1.662500023841858,13.809822082519531,7.678717136383057,16.619108200073242,7.937271595001221,18.618099212646484,3.4233360290527344,2.2249999046325684,10.230820655822754,7.331799507141113,4.8118977546691895,22.1365966796875,11.000076293945312,17.770410537719727,11.587753295898438,37.050758361816406,11.416316986083984,21.41531181335449,4.516931533813477,3.5644235610961914,36.92717361450195,20.45393180847168
2002-06-30,9.975421905517578,0.2207157462835312,23.37007713317871,0.2199999988079071,16.569364547729492,3.979231834411621,4.4216084480285645,12.44450855255127,6.244442939758301,9.810863494873049,5.7419939041137695,6.063599586486816,9.691312789916992,9.960200309753418,1.3562500476837158,13.279361724853516,8.202266693115234,17.414634704589844,7.117857933044434,17.412067413330078,2.9789953231811523,1.7200000286102295,9.209883689880373,6.661466598510742,3.49671483039856,21.79287338256836,11.78152084350586,15.331193923950195,9.532660484313965,34.48174285888672,9.492840766906738,19.88530158996582,2.6185107231140137,3.7731504440307617,34.001617431640625,19.232688903808597
2002-07-31,10.72593879699707,0.2446133196353912,24.24365234375,0.2000000029802322,17.483530044555664,4.865004062652588,3.793267250061035,13.056885719299316,5.77990198135376,10.010919570922852,4.881337642669678,6.446625709533691,8.007223129272461,11.30573558807373,1.3337500095367432,12.992180824279783,8.978864669799805,18.02452278137207,5.787273406982422,21.2981014251709,2.905719041824341,2.039999961853028,9.739253044128418,6.135036468505859,4.541158676147461,21.80325698852539,12.64175796508789,13.715018272399902,9.602605819702148,35.760101318359375,13.220126152038574,23.59612846374512,3.068894386291504,4.969319343566895,37.14038848876953,19.973169326782227
2002-08-31,10.151097297668455,0.2181277871131897,21.611536026000977,0.209999993443489,18.268054962158203,4.867251396179199,3.918762683868408,14.91018009185791,7.079355239868164,10.18883228302002,5.003666877746582,6.674190044403076,9.415698051452637,11.47934913635254,1.4800000190734863,13.522103309631348,9.15338134765625,20.26572608947754,6.221383094787598,19.712337493896484,3.5178210735321045,1.684999942779541,9.717166900634766,6.933433532714844,4.797773361206055,22.37613296508789,10.84040641784668,14.25162124633789,8.455592155456543,33.1174430847168,13.566731452941896,24.7788028717041,3.872775077819824,5.129878520965576,36.652950286865234,19.168500900268555
2002-09-30,10.767119407653809,0.2185846418142318,20.426502227783203,0.209999993443489,17.855018615722656,4.44459867477417,3.892974376678467,14.761300086975098,7.39619255065918,9.710618019104004,4.959968566894531,6.529266357421875,9.650308609008787,11.41442584991455,1.284999966621399,12.935823440551758,8.935235977172852,18.916770935058597,5.954239845275879,17.412145614624023,3.173015117645264,1.5,9.677002906799316,7.221518516540527,4.376924514770508,21.71955680847168,11.112353324890137,14.281787872314451,9.384099960327148,30.17618751525879,13.521525382995604,24.244802474975582,3.068894386291504,6.3822431564331055,35.75882339477539,19.24036979675293
