Date,ATVI,FE,MOS,CPB,NEOG,ROP,MRO,MCK,ED,JNPR,WDC,OKE,JNJ,BRK-A,BSX,CMI,WBA,FDX,USB,MMM,COO,DIS,FISV,NWL,KR
2001-12-31,2.8824715614318848,13.994881629943848,10.256365776062012,16.468088150024414,1.6092909574508667,21.720685958862305,5.622382164001465,31.684568405151367,15.676346778869627,15.489990234375,5.033544540405273,2.9096896648406982,33.78132247924805,75600.0,12.0600004196167,6.085842609405518,22.298784255981445,44.30837631225586,10.909929275512695,33.92790222167969,24.547927856445312,16.313493728637695,10.579999923706056,14.20969295501709,7.855438232421875
2002-01-31,2.91239333152771,14.883058547973633,10.690290451049805,15.768616676330566,1.2456450462341309,21.972829818725582,5.256927013397217,32.616477966308594,15.92104434967041,12.522777557373049,5.017486572265625,2.8388092517852783,32.872467041015625,73900.0,11.234999656677246,5.9516191482543945,24.034448623657227,45.73466491699219,10.852591514587402,31.85854148864746,23.01060676574707,16.58118438720703,10.609999656677246,14.230306625366213,7.753809928894043
2002-02-28,3.165066957473755,14.787795066833496,10.49305248260498,14.82082462310791,1.33010995388031,20.548704147338867,5.197176456451416,29.9157772064209,16.0623722076416,7.618294715881348,4.664254188537598,3.0017306804656982,34.91838836669922,73000.0,11.18000030517578,6.612464427947998,26.68321990966797,49.41565704345703,10.868236541748049,34.03265380859375,23.22672271728516,18.10859489440918,10.6850004196167,16.16404914855957,8.337224006652832
2002-03-31,3.488666534423828,13.45447063446045,9.954026222229004,15.393041610717772,1.314995050430298,20.251075744628903,5.491996765136719,34.27793502807617,17.160755157470703,8.26405143737793,4.969319343566895,3.6236050128936768,36.61555862426758,73450.0,12.460000038146973,6.766724586486816,25.045360565185547,44.12903594970703,12.461200714111328,36.30379486083984,26.03121566772461,18.25031852722168,11.114999771118164,16.30424690246582,8.570594787597656
2002-04-30,3.615002632141113,14.1033296585083,11.07582950592041,15.749852180480955,1.3621180057525637,17.17312240600586,5.223715782165527,31.825275421142575,17.45109748840332,7.577425003051758,3.692868709564209,3.4429233074188232,35.29588317871094,74600.0,13.925000190734863,5.898465156555176,25.39442443847656,46.0762939453125,12.434906005859377,36.37462615966797,24.56266593933105,18.037744522094727,10.635000228881836,17.838991165161133,8.412506103515625
2002-05-31,3.1827986240386963,12.56672191619873,8.583765983581543,13.065625190734863,1.1247260570526123,13.132874488830566,4.617902755737305,27.983732223510746,17.084293365478516,6.539310455322266,3.5644235610961914,3.0943448543548584,30.2618350982666,68300.0,14.994999885559082,5.175780773162842,23.44968605041504,43.55308151245117,11.344371795654297,36.49062347412109,21.582202911376957,13.959369659423828,8.602499961853027,15.712936401367188,7.332240581512451
2002-06-30,2.6519625186920166,12.333670616149902,9.547107696533203,12.381505966186523,1.1869629621505735,15.22972583770752,4.360192775726318,24.124616622924805,16.244850158691406,3.923585176467896,3.7731504440307617,3.161250114440918,31.227693557739254,73900.0,15.779999732971191,3.821398496627808,20.436243057250977,42.84595489501953,9.960200309753418,32.045379638671875,25.81015014648437,11.920185089111328,7.019999980926514,16.22062110900879,5.307219505310059
2002-07-31,2.271844387054444,13.421445846557615,8.715201377868652,11.905019760131836,1.142508029937744,17.084077835083008,4.017990589141846,25.38492774963379,17.194011688232422,4.757347106933594,4.969319343566895,3.1940393447875977,33.92431640625,74190.0,18.815000534057617,3.8764078617095943,22.4227294921875,45.51579284667969,11.30573558807373,36.990455627441406,26.05595970153809,13.148417472839355,7.809999942779541,17.035070419311523,5.570697784423828
2002-08-31,1.6168879270553589,13.79311752319336,8.468313217163086,13.344354629516602,1.32922101020813,16.198890686035156,4.14312219619751,23.070920944213867,17.523836135864258,5.558412551879883,5.129878520965576,3.237884759902954,31.11955070495605,72750.0,21.26000022888184,4.596872329711914,19.416343688964844,46.44121551513672,11.47934913635254,36.104618072509766,24.625389099121094,13.001590728759766,8.487500190734863,16.045686721801758,5.815357685089111
2002-09-30,1.6124553680419922,13.05263328552246,7.754021644592285,13.628639221191406,1.336333990097046,15.4409761428833,4.067225456237793,24.2658634185791,16.337020874023438,7.16871976852417,6.3822431564331055,2.92090916633606,31.061622619628903,67600.0,20.225000381469727,4.036360263824463,19.289962768554688,45.05363082885742,11.41442584991455,36.47063827514648,25.20608711242676,13.95020580291748,7.792500019073486,14.733672142028809,5.679854393005371
2002-10-31,1.651242971420288,12.492502212524414,6.992110729217529,11.792157173156738,1.1113890409469604,12.797245979309082,4.541816711425781,22.78877258300781,16.1917724609375,7.348547458648682,6.52674674987793,2.934534311294556,30.514623641967773,61700.0,22.084999084472656,3.9290924072265625,18.743446350097656,44.02577209472656,11.317055702209473,36.90312576293945,28.59182357788086,13.599457740783691,7.974999904632568,15.025545120239258,4.975988388061523
2002-11-30,1.6013731956481934,13.339457511901855,7.653659820556641,11.939980506896973,1.2314189672470093,12.797245979309082,4.714911460876465,21.325977325439453,15.971720695495604,6.678269863128662,7.273351192474365,3.1235859394073486,33.66791534423828,63800.0,20.3799991607666,4.032361030578613,19.635984420776367,47.21515274047852,10.366915702819824,38.27480316162109,29.42841911315918,13.567571640014648,7.869999885559082,15.10547161102295,4.949640274047852
2002-12-31,1.6955715417861938,14.283798217773438,7.208128929138184,12.617392539978027,1.4421379566192627,13.609725952148438,4.4788737297058105,23.73832130432129,16.13779640197754,8.370314598083496,7.490106105804443,3.2600209712982178,32.789405822753906,69815.0,21.524999618530277,4.443792819976807,20.55517196655273,51.339088439941406,12.09837532043457,37.10034942626953,27.45996856689453,14.874906539916992,7.355000019073486,16.240375518798828,5.382498741149902
