Date,EFX,NTAP,LH,DRI,TSCO,RHI,ADM,RSG,F,EBAY,FDX,ECL,EMR,HSIC,VTR,ALK,LEG,ROST,ITW,ILMN,CB,DLTR,SO,APD,PRU,CNP,NOXL,ESS,CPRT,LMT,MLM,BWA,EMN,EIX,GILD,MMM,TXT
2001-12-31,19.936115264892575,17.35881233215332,40.077781677246094,12.802300453186035,1.8361740112304688,19.21194648742676,9.026527404785156,8.712726593017578,8.661975860595703,6.635913848876953,44.30837631225586,15.838500022888184,15.706439018249512,7.260784149169922,4.654596328735352,6.542126655578613,10.652742385864258,3.29902458190918,21.45978736877441,5.880000114440918,25.699443817138672,10.303333282470703,9.630536079406738,26.619327545166016,18.51911163330078,8.520220756530762,0.1400559991598129,23.42525863647461,3.030833005905152,26.94842338562012,35.31529235839844,5.248593330383301,10.341212272644045,8.12597370147705,3.1975910663604736,33.92790222167969,16.935882568359375
2002-01-31,20.786392211914062,14.247400283813477,40.35042190551758,14.8998441696167,2.005890369415283,18.86656951904297,8.768624305725098,7.591458797454834,8.488651275634766,5.854284763336182,45.73466491699219,16.837995529174805,15.937507629394531,8.998039245605469,4.909587860107422,6.892838954925537,11.222429275512695,3.736083269119263,22.61960792541504,4.224999904632568,24.867319107055664,11.00333309173584,9.494479179382324,26.24480628967285,17.32504653930664,8.05758285522461,0.1400559991598129,21.969776153564453,2.825000047683716,30.58620262145996,30.89710235595703,5.580420017242432,10.64334201812744,8.314321517944336,3.1829943656921387,31.85854148864746,18.72097587585449
2002-02-28,24.78377914428711,12.691696166992188,40.39007568359375,15.290428161621094,2.333470582962036,18.71547508239746,8.744595527648926,7.831419944763184,8.25562858581543,5.162918567657471,49.41565704345703,18.42775154113769,15.948657035827637,8.433333396911621,5.239214897155762,6.980515956878662,11.880119323730469,3.713263750076294,23.31041145324707,3.430000066757202,28.099756240844727,10.68000030517578,9.783353805541992,27.521583557128903,17.057214736938477,6.792553901672363,0.1400559991598129,22.47231674194336,2.1737499237060547,32.6356315612793,31.746620178222656,6.058887004852295,11.661027908325195,8.50267219543457,3.428213834762573,34.03265380859375,19.41539764404297
2002-03-31,22.569772720336918,13.85053539276123,49.173973083496094,14.444427490234377,2.9713902473449707,18.895353317260746,8.378395080566406,8.638555526733398,8.877017974853516,5.267070293426514,44.12903594970703,17.329029083251953,14.785531997680664,9.33137321472168,5.573631763458252,6.886093616485596,12.23774528503418,4.181797504425049,22.91780662536621,4.199999809265137,27.96018409729004,12.713333129882812,10.919610977172852,27.37430000305176,17.91091537475586,8.28822135925293,0.1400559991598129,25.012155532836918,1.923750042915344,36.39037704467773,29.62511444091797,6.308695793151856,11.800997734069824,9.767312049865724,3.028272867202759,36.30379486083984,20.22086334228516
2002-04-30,22.84187126159668,10.326387405395508,48.62869644165039,13.646190643310549,3.010183334350586,17.758464813232422,9.220584869384766,9.170828819274902,9.85405445098877,5.476364612579346,46.0762939453125,18.816858291625977,16.125999450683594,9.721569061279297,5.529904365539551,6.261107444763184,12.24704647064209,4.3414082527160645,22.57768821716309,3.200000047683716,22.235803604125977,13.423333168029783,10.5248384475708,28.57069206237793,19.24448013305664,5.675875663757324,0.1400559991598129,25.084306716918945,2.0537500381469727,35.9617919921875,30.521154403686523,6.502562999725342,12.376330375671388,10.041763305664062,3.4700570106506348,36.37462615966797,19.291643142700195
2002-05-31,17.526153564453125,6.714930534362793,34.00538635253906,12.609009742736816,3.2208468914031982,14.354998588562012,7.414487361907959,7.678717136383057,7.577748775482178,5.662844181060791,43.55308151245117,18.18838882446289,14.20258903503418,8.423528671264648,5.466825485229492,5.28316068649292,10.514476776123049,3.882311820983887,21.04400634765625,2.2249999046325684,20.45393180847168,10.399999618530272,11.218695640563965,25.317169189453125,18.407506942749023,3.356809139251709,0.1400559991598129,24.87723922729492,1.662500023841858,37.15570831298828,29.24688720703125,5.434745788574219,11.97536849975586,7.049685478210449,2.9650204181671143,36.49062347412109,16.31471061706543
2002-06-30,17.98906898498535,5.818017959594727,33.48985290527344,13.162898063659668,3.4245073795318604,11.419236183166504,7.967605590820312,8.202266693115234,5.513136863708496,5.238305568695068,42.84595489501953,16.56852149963379,12.350930213928224,10.34313678741455,5.7419939041137695,3.979231834411621,9.304117202758787,3.6789939403533936,18.673688888549805,1.7200000286102295,19.232688903808597,7.346666812896728,11.354012489318848,24.153308868408203,15.935697555541992,3.389471530914306,0.1400559991598129,24.49425506591797,1.3562500476837158,37.54689025878906,24.951196670532227,5.025722503662109,10.414583206176758,5.3814377784729,3.2627880573272705,32.045379638671875,14.24144172668457
2002-07-31,19.49505424499512,7.119730949401856,23.893001556396484,10.325298309326172,4.093676090240479,12.01646327972412,8.674565315246582,8.978864669799805,4.816987037658691,6.272871971130371,45.51579284667969,19.15723419189453,13.542733192443848,9.837254524230955,4.881337642669678,4.865004062652588,9.802462577819824,4.320031642913818,19.656513214111328,2.039999961853028,19.973169326782227,8.763333320617676,11.850011825561523,25.41241836547852,16.292800903320312,2.8438286781311035,0.0700279995799064,23.51329231262207,1.3337500095367432,33.61627578735352,21.3276424407959,4.569387435913086,9.915271759033203,5.40834379196167,3.38053297996521,36.990455627441406,17.12314796447754
2002-08-31,19.163366317749023,7.937267303466797,23.04038619995117,11.124990463256836,4.051649570465088,11.591931343078612,7.932157039642334,9.15338134765625,5.295271396636963,6.727169990539551,46.44121551513672,19.71381187438965,14.406271934509276,8.823529243469238,5.003666877746582,4.867251396179199,10.610757827758787,4.380489826202393,20.83382797241211,1.684999942779541,19.168500900268555,8.1899995803833,11.3273344039917,24.700942993164062,17.95290184020996,3.4990251064300537,0.0700279995799064,25.57348251342773,1.4800000190734863,33.60101318359375,23.60304450988769,5.12201452255249,10.153403282165527,6.377003192901611,3.308522939682007,36.104618072509766,18.095102310180664
2002-09-30,17.73067283630371,8.580188751220703,26.520238876342773,11.805007934570312,3.9772965908050537,10.908361434936523,7.708268165588379,8.935235977172852,5.241863250732422,7.455236434936523,45.05363082885742,19.63415908813477,13.295695304870604,7.947059154510498,4.959968566894531,4.44459867477417,9.551578521728516,4.031206607818604,19.536134719848636,1.5,19.24036979675293,7.320000171661377,11.3740816116333,23.949806213378903,17.96986961364746,3.0447652339935303,0.0700279995799064,25.387378692626957,1.284999966621399,29.702720642089844,22.47909545898437,5.458297252655029,9.452027320861816,6.635313034057617,3.3961024284362797,36.47063827514648,16.23044776916504
