,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
Equal Weight,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Historical MVO,4.568395184695646e-09,0.014246605919881916,2.680580504168818e-08,5.87100012657191e-09,6.3461150524347735e-09,0.1469971028186388,0.11364714886879827,0.043587741052451084,0.1384905928248799,1.0064660779598013e-08,0.019540029882684714,5.506667084325463e-09,6.432724997399281e-09,0.2445949152354682,5.507559437735296e-09,0.08214851117968947,0.04289775071462162,0.13338146314422994,9.074777084284462e-09,0.020468058180952188
OLS MVO,3.2972069651833104e-08,0.02836078156556474,0.029739241329060733,6.914604525028293e-08,0.01299316910698125,0.17636827866975122,0.047730673291552075,0.027309957912405043,0.15181808153332518,0.03187963257543372,0.014839782730378627,2.82442182167037e-08,5.916289241766298e-08,0.16191782873800764,0.011684829288518647,0.05493424935731198,0.1097602265647006,0.11350487085242297,0.018961854649317007,0.008196352310044668
OLS MVO Robust,9.753873241435785e-11,7.33452485936739e-10,7.124126074370764e-10,0.0061256960840710235,2.1076829002212056e-10,4.5904546450505704e-10,1.735441198443882e-10,3.4220263288405625e-10,3.5899595195975e-10,5.239369753572613e-10,0.5764354616734136,2.347765547886828e-10,1.4884224643696655e-10,3.997381648940644e-10,0.07063687557235615,0.34680196060547125,3.40091666272897e-10,7.912132859739242e-10,3.2880699186586077e-10,2.0934608179946118e-10
PCA MVO,2.727509349009492e-09,9.337599558463902e-10,0.010264522102356014,9.237992858130482e-10,0.01602347675065329,0.179250044705339,0.10216797004712831,0.06435954056607025,0.11506717069101126,3.4264271592108878e-09,0.014815553280025463,1.371133379153274e-09,7.91011415696882e-10,0.2403861771623976,2.9757822568046583e-09,0.10662068849532123,0.07104508045126348,0.061701951550093184,1.5435971519203724e-09,0.01829780950532273
Market Cap Weights,0.023501623622526342,0.0257339036468208,7.162729430168126e-10,2.2089381379047649e-10,8.649479791428821e-08,0.09746596605720384,0.1675595315645296,0.027251078602798254,0.15484520537737786,5.845286228327996e-10,6.11771080479105e-11,1.0951886873994736e-09,0.05049777106721438,0.2391866565060014,3.486755694502719e-10,0.01843145683475269,0.07786898582062181,0.06556644690930523,2.7797542754966713e-09,0.052091281689557914
Equal Weight,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Historical MVO,4.378446736055067e-09,2.039805508494633e-08,0.022814240429560078,2.1712466504878845e-08,1.2038879983828876e-08,0.13017175895197206,0.1745223815253542,0.02199818322717009,0.09481923973280806,2.5085071181214214e-08,0.036517385402560706,5.162039241164356e-09,5.341216109604608e-09,0.13773871617417982,1.2500233980891778e-08,0.09440753983327305,0.10974011597739824,0.1587723443815563,7.973836244459525e-09,0.018497979773915756
OLS MVO,6.708261333974627e-09,0.015377526109896865,0.0650512850848481,1.5871792292922098e-06,3.8337164159913316e-08,0.19833643051745162,0.09432771907984352,1.69829364087758e-08,0.12743346982819595,0.00018024216142722025,0.02140747840442293,4.591944747801997e-09,4.990424752153943e-09,0.09438304712328362,0.021781040095055607,0.07591500169313811,0.12573959473355684,0.15370013668177523,5.5082773606377554e-08,0.006365314614371104
OLS MVO Robust,2.334455278127691e-10,0.0461000208037017,7.376851979640501e-10,0.047949052812653284,4.445037290162056e-10,5.637004023517709e-10,3.3908380425156623e-10,5.36104748535753e-10,6.336260367099896e-10,7.060373468046262e-10,0.5343487045490201,5.396569129039627e-10,2.8439019201380776e-10,4.799781300772213e-10,2.654388537777619e-08,0.37160217462639356,6.03852966023855e-10,1.3482603599434177e-08,6.632389147299798e-10,4.1643288756260125e-10
PCA MVO,3.1578383679421156e-09,1.1330331046698315e-08,0.0359197339675285,9.554747895006087e-09,1.0454552058436e-08,0.1771763098633025,0.16722309786299766,0.006338093543929756,0.10050363232383674,0.001805491414539303,0.0350964302669205,3.740302090106131e-09,3.158365644666824e-09,0.11039905223097113,7.757617236757218e-09,0.10327595168437946,0.10712928529046593,0.13118223007891652,5.92165882696588e-09,0.023950636396799434
Market Cap Weights,0.007875176574670977,4.348096122913974e-10,0.009770947388420844,6.313859385134612e-10,1.555158587084096e-08,0.16048003224553112,0.26229256324159045,4.437900817577885e-09,0.14023060135252116,3.2108912599552645e-10,4.440632581255706e-11,3.67789226389755e-10,0.044113753555696696,0.13083111957357488,1.0935523388009476e-09,0.036771653604600746,0.13639086700913716,6.46559029202796e-09,2.369578405053044e-07,0.07124301914829996
Equal Weight,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Historical MVO,4.422779805426956e-09,3.154746942979113e-08,0.05911882670585827,1.0570048645806415e-08,1.0418860166291486e-06,0.29655984756699055,0.18659222696916497,1.1838464878359719e-08,0.08170055972791489,1.0638764607185529e-08,0.014876622456894879,1.6728424406627466e-08,8.77133080030305e-09,0.05206066244392279,5.0427138694304585e-08,0.08292748842293131,0.09734659337668028,0.07467791415447607,1.592456527172822e-08,0.054138055420159856
