Date,GIS,TROW,ORLY,ODFL,CSCO,NWL,A,CDE,EOG,WHR,NTRS,KMX,SEE,KIM,HD,RLI,FMBM,KO,COST,JPM,PLD,CNP
2001-12-31,13.836259841918944,10.26109504699707,18.23500061035156,1.0882939100265503,12.860453605651855,14.20969295501709,17.449262619018555,8.0,7.562076568603516,42.302520751953125,38.44989776611328,11.369999885559082,15.006765365600586,5.965869903564453,32.28935623168945,4.743450164794922,9.392512321472168,12.907477378845217,30.89198303222656,19.63542366027832,12.234206199645996,8.520220756530762
2002-01-31,13.255696296691896,11.103134155273438,16.545000076293945,1.1741222143173218,14.06057071685791,14.230306625366213,18.575416564941406,8.800000190734863,6.579708099365234,41.939090728759766,37.28145217895508,10.53499984741211,15.264110565185549,5.569852828979492,31.70699882507324,4.827777862548828,10.436123847961426,11.976715087890623,32.0196533203125,18.566680908203125,12.050691604614258,8.05758285522461
2002-02-28,12.367518424987791,11.762005805969238,16.524999618530273,1.1071760654449463,10.133553504943848,16.16404914855957,19.06504440307617,12.5,6.812000274658203,43.52522277832031,34.55509185791016,13.369999885559082,16.536121368408203,5.661100387573242,31.6500301361084,5.21779727935791,11.218838691711426,12.97317886352539,28.720224380493164,15.949353218078612,12.257732391357422,6.792553901672363
2002-03-31,11.850595474243164,10.402311325073242,16.19499969482422,1.2273343801498413,10.403403282165527,16.30424690246582,18.39181137084961,12.899999618530272,8.24497127532959,43.43828201293945,34.016624450683594,14.75,16.42215347290039,5.952862739562988,29.382627487182617,6.090809345245361,10.566573143005373,15.259517669677734,27.982378005981445,19.32530403137207,13.393508911132812,8.28822135925293
2002-04-30,12.240676879882812,10.71079444885254,16.079999923706055,1.19300377368927,11.205848693847656,17.838991165161133,16.139495849609375,18.5,7.9446258544921875,41.569034576416016,33.184139251708984,13.234999656677246,16.451562881469727,5.915772438049316,26.417125701904297,5.683701515197754,10.20130729675293,15.273262977600098,27.33503532409668,19.79330062866211,13.923711776733398,5.675875663757324
2002-05-31,11.220861434936523,8.054574012756348,14.09000015258789,1.2874137163162231,9.366610527038574,15.712936401367188,11.555315017700195,14.899999618530272,6.651974678039551,33.40079879760742,25.59290885925293,8.850000381469727,5.334351062774658,6.054284572601318,19.59181404113769,5.575446128845215,9.131608963012695,13.779378890991213,24.272279739379883,13.893067359924316,14.305014610290527,3.356809139251709
2002-06-30,12.024861335754396,7.485456943511963,14.3100004196167,1.5852359533309937,7.4421610832214355,16.22062110900879,7.993241310119629,15.800000190734863,6.975942134857178,26.858827590942383,24.339771270751957,8.024999618530273,6.209317207336426,5.858375549316406,16.58432960510254,5.711264610290527,9.392512321472168,13.28519058227539,22.532079696655277,10.570087432861328,13.99035358428955,3.389471530914306
2002-07-31,11.25606632232666,8.466129302978516,13.635000228881836,2.0040738582611084,7.939250946044922,17.035070419311523,8.41555118560791,13.800000190734863,6.991517543792725,27.29808616638184,22.46847915649414,8.194999694824219,5.632133483886719,5.8047356605529785,18.35078239440918,5.961432933807373,9.131608963012695,12.87521743774414,23.61797523498535,11.752141952514648,13.16032600402832,2.8438286781311035
2002-08-31,12.789746284484863,8.229820251464844,12.645000457763672,2.4375040531158447,9.30270004272461,16.045686721801758,10.99224090576172,19.200000762939453,7.752816677093506,30.78182601928711,22.7203311920166,8.9399995803833,13.712701797485352,5.971302509307861,15.297341346740724,5.959536552429199,9.75777530670166,12.198007583618164,19.531970977783203,13.592839241027832,13.635479927062988,3.4990251064300537
2002-09-30,12.311832427978516,8.066913604736328,12.21500015258789,2.6632304191589355,9.494434356689451,14.733672142028809,10.086418151855469,18.0,7.535277843475342,30.63445854187012,22.07858657836914,8.109999656677246,13.867103576660156,6.119417667388916,13.31033992767334,5.899729251861572,9.914318084716797,11.257556915283203,20.09581184387207,13.408995628356934,13.780009269714355,3.0447652339935303
2002-10-31,11.747347831726074,7.759201049804687,12.765000343322754,2.380857467651367,9.927613258361816,15.025545120239258,8.078926086425781,15.399999618530272,8.029074668884277,29.237415313720703,20.756202697753903,7.525000095367432,13.334038734436035,6.567653656005859,14.934335708618164,5.5387372970581055,10.123041152954102,11.190781593322754,21.24434280395508,13.029818534851074,13.954444885253906,2.0313003063201904
2002-11-30,12.481727600097656,8.231637954711914,13.53499984741211,2.7035694122314453,9.217483520507812,15.10547161102295,8.04832649230957,14.100000381469728,7.690804004669189,29.10091590881348,19.84923553466797,7.284999847412109,14.753108024597168,6.844393253326416,15.5564546585083,5.758779525756836,9.9664945602417,11.329302787780762,20.903255462646484,13.621562957763672,14.079035758972168,3.128596782684326
2002-12-31,12.436015129089355,9.263625144958496,14.8100004196167,2.846043825149536,10.651949882507324,16.240375518798828,9.80488109588623,13.5,7.274603366851807,31.74807548522949,22.8934268951416,10.574999809265137,15.753058433532717,7.165037155151367,17.96400260925293,6.333157062530518,10.17522144317627,11.306918144226074,24.09130477905273,17.101762771606445,13.804916381835938,3.5058038234710693
2003-01-31,13.070091247558594,11.514646530151367,16.735000610351562,2.751203775405884,11.923078536987305,15.030756950378418,11.965381622314451,13.899999618530272,8.142571449279785,38.043087005615234,27.232515335083008,15.074999809265137,17.521379470825195,7.501515865325928,21.189706802368164,7.072845935821533,10.123041152954102,13.050573348999023,25.476512908935547,19.916128158569336,14.244858741760254,3.660961627960205
